product_name,category,sub_category,total_sales,total_profit
"Cubify CubeX 3D Printer Double Head Print",Technology,Machines,11099.96,-8879.97
"Lexmark MX611dhe Monochrome Laser Printer",Technology,Machines,16829.90,-4589.97
"Motorola Smart Phone, Cordless",Technology,Phones,38931.04,-4447.04
"Cubify CubeX 3D Printer Triple Head Print",Technology,Machines,7999.98,-3839.99
"Bevis Round Table, Adjustable Height",Furniture,Tables,5654.80,-3649.89
"Bevis Computer Table, Fully Assembled",Furniture,Tables,11177.90,-3509.56
"Rogers Lockers, Blue","Office Supplies",Storage,28214.59,-2893.49
"Chromcraft Bull-Nose Wood Oval Conference Tables & Bases",Furniture,Tables,9917.64,-2876.12
"Bevis Wood Table, with Bottom Storage",Furniture,Tables,11134.66,-2782.59
"Lesro Training Table, Rectangular",Furniture,Tables,2711.65,-2581.28
